kategori_produk,review,family_template,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,jumlah_lembar,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,jumlah_dimensi_x,panjang_nama,jumlah_token,nama_produk_normalized,split_grouped,has_box_dimension,has_roll_dimension,has_yard_dimension
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.691967639914864,0,0.0,0.0,0.0,30.0,300.0,0.0,0.0,0.0,0.0,0.0,30.0,300.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 30 cm x 300 meter,train,0,1,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,9.99884318585288,0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,48,10,sticker thermal lipat 100 mm x 100 mm 300 lembar,train,0,0,0
Label,4.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.203629181337648,0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,48,10,sticker thermal lipat 100 mm x 100 mm 300 lembar,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,gmp,hitam,lainnya,lainnya,11.49273296168228,0,2.7,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0,0,0,0,1,45,10,bubble wrap gmp hitam 2.7kg 60 cm x 100 meter,train,0,1,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.203629181337648,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,sticker thermal 80 mm x 80 mm 500 lembar,train,0,0,0
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,gmp,bening,lainnya,lainnya,11.156264806643742,0,2.2,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,46,10,bubble wrap gmp bening 2.2kg 125 cm x 25 meter,train,0,1,0
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,lainnya,lainnya,11.49782197939291,0,25.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,31,6,kardus singleface 100 cm x 25kg,train,0,0,0
Kemasan Pengiriman,3.5,polymailer,plastik,lainnya,biru,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,37,8,plastik polymailer biru 45 cm x 60 cm,train,0,0,0
Perlengkapan Pengemasan,3.5,karung,karung,lainnya,lainnya,lainnya,lainnya,9.825580063659602,0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,0,0,0,0,1,39,8,karung bagor lembaran 100 cm x 10 meter,train,0,1,0
Perekat,3.5,lakban,lakban,deli,bening,lainnya,lainnya,9.082620630373812,0,0.0,45.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,65.0,0,0,0,0,1,34,8,lakban deli bening 45 mm x 65 yard,train,0,0,1
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,sanpack,bening,lainnya,lainnya,11.277215789596893,0,2.2,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,50,10,bubble wrap sanpack bening 2.2kg 30 cm x 100 meter,train,0,1,0
Perekat,3.5,double_tape,pe foam,yatta,lainnya,foam,lainnya,10.584081267024454,0,0.0,48.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,39,9,double tape foam yatta 48 mm x 10 meter,train,0,0,0
Kemasan Pengiriman,2.5,polymailer,plastik,lainnya,hitam,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer hitam 25 cm x 35 cm,train,0,0,0
Perlengkapan Rumah,3.5,trash_bag,plastik,lainnya,hitam,lainnya,lainnya,7.824445930877619,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek hitam 15 cm x 35 cm,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.119897691565695,0,2.2,0.0,0.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,0.0,0.0,0,0,0,0,1,46,10,bubble wrap upack hitam 2.2kg 60 cm x 50 meter,train,0,1,0
Perekat,3.5,double_tape,pe foam,non brand,lainnya,foam,lainnya,9.546884034617923,1,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,42,10,double tape foam non brand 12 mm x 5 meter,train,0,0,0
Perekat,3.5,lakban,lakban,joyko,biru,lainnya,lainnya,8.853808274977197,0,0.0,48.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,75.0,0,0,0,0,1,33,8,lakban joyko biru 48 mm x 75 yard,train,0,0,1
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.320565693461432,0,3.2,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0,0,0,0,1,46,10,bubble wrap upack hitam 3.2kg 30 cm x 25 meter,train,0,1,0
Perekat,4.0,lakban,lakban,sanpack,biru,lainnya,lainnya,8.881975184248867,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,35,8,lakban sanpack biru 45 mm x 90 yard,train,0,0,1
Perekat,3.0,double_tape,pe foam,deli,lainnya,foam,lainnya,9.798182590890704,0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,37,9,double tape foam deli 24 mm x 3 meter,train,0,0,0
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,11.225256725762891,0,3.2,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap global bening 3.2kg 30 cm x 25 meter,train,0,1,0
Pengikat,3.0,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,9.741027444837728,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia hijau 1kg,train,0,0,0
Perekat,3.0,lakban,lakban,non brand,putih,lainnya,lainnya,9.305741456739437,1,0.0,45.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,120.0,0,0,0,0,1,39,9,lakban non brand putih 45 mm x 120 yard,train,0,0,1
Kardus Kemasan,2.5,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.071218539969863,0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,25.0,15.0,9.733647773244227,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 45 cm x 25 cm x 15 cm cflute,train,1,0,0
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,7.8636512654486515,0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,35.0,25.0,10.686269748667398,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 50 cm x 35 cm x 25 cm bflute,train,1,0,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.809748150372926,0,0.0,60.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,47,10,sticker thermal lipat 60 mm x 40 mm 1000 lembar,train,0,0,0
Pengikat,2.5,tali_rafia,lainnya,lainnya,hitam,lainnya,lainnya,9.105090961257083,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22,4,tali rafia hitam 1/2kg,train,0,0,0
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,8.188966863648876,0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,20.0,30.0,9.798182590890704,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 30 cm x 20 cm x 30 cm bflute,train,1,0,0
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.412054873292933,0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 35 cm x 55 cm,train,0,0,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,sanpack,bening,lainnya,lainnya,11.33261388681514,0,2.7,0.0,0.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,0.0,0.0,0,0,0,0,1,49,10,bubble wrap sanpack bening 2.7kg 60 cm x 50 meter,train,0,1,0
Kemasan Pengiriman,3.5,polymailer,plastik,lainnya,putih,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer putih 30 cm x 40 cm,train,0,0,0
Perekat,3.5,lakban,lakban,yatta,merah,lainnya,lainnya,8.839421607620602,0,0.0,48.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,65.0,0,0,0,0,1,34,8,lakban yatta merah 48 mm x 65 yard,train,0,0,1
Kemasan Fleksibel,3.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.448743588106623,0,0.0,0.0,0.0,30.0,250.0,0.0,0.0,0.0,0.0,0.0,30.0,250.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 30 cm x 250 meter,train,0,1,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.537627833610571,0,2.7,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack hitam 2.7kg 30 cm x 100 meter,train,0,1,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,global,bening,lainnya,lainnya,11.37940550085183,0,3.2,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap global bening 3.2kg 60 cm x 25 meter,train,0,1,0
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.071218539969863,0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,30.0,20.0,10.085850775128716,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 40 cm x 30 cm x 20 cm cflute,train,1,0,0
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.404293143019792,0,0.0,0.0,0.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 50 cm x 150 meter,train,0,1,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,sanpack,bening,lainnya,lainnya,11.042937835596494,0,2.2,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0,0,0,0,1,49,10,bubble wrap sanpack bening 2.2kg 30 cm x 50 meter,train,0,1,0
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,10.463131911491969,0,0.0,0.0,0.0,30.0,250.0,0.0,0.0,0.0,0.0,0.0,30.0,250.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 30 cm x 250 meter,train,0,1,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.55843949396453,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,43,10,thermal unboxing 80 mm x 80 mm x 500 lembar,train,0,0,0
Peralatan Industri,2.5,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,8.294299608857235,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 30 cm x 40 cm,train,0,0,0
Perekat,3.5,lakban,lakban,deli,biru,lainnya,lainnya,8.517393171418904,0,0.0,45.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,65.0,0,0,0,0,1,32,8,lakban deli biru 45 mm x 65 yard,train,0,0,1
Kemasan Pengiriman,2.5,polymailer,plastik,lainnya,hitam,lainnya,lainnya,9.648659816955297,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer hitam 25 cm x 35 cm,train,0,0,0
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.404293143019792,0,0.0,0.0,0.0,30.0,250.0,0.0,0.0,0.0,0.0,0.0,30.0,250.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 30 cm x 250 meter,train,0,1,0
Pengikat,3.5,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,9.105090961257083,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia hijau 1kg,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,global,hitam,lainnya,lainnya,11.07443600653965,0,2.4,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap global hitam 2.4kg 60 cm x 25 meter,train,0,1,0
Label,3.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.5713425658087,0,0.0,100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,42,9,sticker thermal 100 mm x 150 mm 500 lembar,train,0,0,0
Perlengkapan Rumah,4.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.852246888342531,0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 60 cm x 90 cm,train,0,0,0
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,bflute,lainnya,7.8636512654486515,0,0.0,0.0,0.0,55.0,0.0,0.0,55.0,35.0,30.0,10.963895944251435,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 55 cm x 35 cm x 30 cm bflute,train,1,0,0
Peralatan Industri,3.0,plastik_hdpe,plastik pe,lainnya,lainnya,pe,lainnya,8.366602832783736,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik pe 25 cm x 40 cm,train,0,0,0
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.770013301136158,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 50 cm x 75 cm,train,0,0,0
Perlengkapan Rumah,4.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.137877200242468,0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 40 cm x 60 cm,train,0,0,0
Perekat,3.5,lakban,lakban,joyko,merah,lainnya,lainnya,9.169622538697624,0,0.0,48.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,85.0,0,0,0,0,1,51,10,lakban fresh vegetables merah joyko 48 mm x 85 yard,train,0,0,1
Perekat,3.0,double_tape,pe foam,joyko,lainnya,foam,lainnya,10.043292972227004,0,0.0,36.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,38,9,double tape foam joyko 36 mm x 3 meter,train,0,0,0
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,10.373522431293592,0,0.0,0.0,0.0,30.0,200.0,0.0,0.0,0.0,0.0,0.0,30.0,200.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 30 cm x 200 meter,train,0,1,0
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.55843949396453,0,0.0,0.0,0.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 50 cm x 150 meter,train,0,1,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.31448672129398,0,2.7,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack hitam 2.7kg 125 cm x 25 meter,train,0,1,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,smilepack,bening,lainnya,lainnya,11.338583982516496,0,3.0,0.0,0.0,60.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,50.0,0.0,0.0,0,0,0,0,1,51,10,bubble wrap smilepack bening 3.0kg 60 cm x 50 meter,train,0,1,0
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,11.07443600653965,0,0.0,0.0,0.0,50.0,270.0,0.0,0.0,0.0,0.0,0.0,50.0,270.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 50 cm x 270 meter,train,0,1,0
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,8.188966863648876,0,0.0,0.0,0.0,55.0,0.0,0.0,55.0,35.0,30.0,10.963895944251435,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 55 cm x 35 cm x 30 cm bflute,train,1,0,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.203629181337648,0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,42,9,sticker thermal 100 mm x 100 mm 300 lembar,train,0,0,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,global,hitam,lainnya,lainnya,11.51792295668052,0,3.2,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap global hitam 3.2kg 60 cm x 100 meter,train,0,1,0
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,10.106469212026385,0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 60 cm x 90 cm,train,0,0,0
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,kraft,lainnya,8.343077871169383,0,0.0,0.0,0.0,65.0,0.0,0.0,65.0,35.0,30.0,11.13094736495452,0.0,0.0,0.0,0.0,0,0,0,1,2,42,11,kardus packing 65 cm x 35 cm x 30 cm kraft,train,1,0,0
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,lainnya,lainnya,11.472113887062386,0,10.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,31,6,kardus singleface 160 cm x 10kg,train,0,0,0
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.505094936455558,0,0.0,0.0,0.0,50.0,175.0,0.0,0.0,0.0,0.0,0.0,50.0,175.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 50 cm x 175 meter,train,0,1,0
Label,4.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.373522431293592,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,sticker thermal 80 mm x 80 mm 500 lembar,train,0,0,0
Perlengkapan Rumah,3.0,trash_bag,plastik,lainnya,putih,lainnya,lainnya,8.537191877922927,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek putih 25 cm x 50 cm,train,0,0,0
Kemasan Fleksibel,4.5,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,9.798182590890704,0,0.0,0.0,0.0,30.0,150.0,0.0,0.0,0.0,0.0,0.0,30.0,150.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 30 cm x 150 meter,train,0,1,0
Perekat,4.0,lakban,lakban,deli,putih,lainnya,lainnya,8.895766604056085,0,0.0,45.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,70.0,0,0,0,0,1,33,8,lakban deli putih 45 mm x 70 yard,train,0,0,1
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,smilepack,hitam,lainnya,lainnya,11.407576060361786,0,3.2,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0,0,0,0,1,50,10,bubble wrap smilepack hitam 3.2kg 30 cm x 50 meter,train,0,1,0
Pengikat,3.0,tali_rafia,lainnya,lainnya,biru,lainnya,lainnya,10.239995502805316,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,19,4,tali rafia biru 1kg,train,0,0,0
Perekat,3.5,lakban,lakban,joyko,putih,lainnya,lainnya,9.259225769705994,0,0.0,48.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,90.0,0,0,0,0,1,34,8,lakban joyko putih 48 mm x 90 yard,train,0,0,1
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.131824785007195,0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,20.0,30.0,9.798182590890704,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 30 cm x 20 cm x 30 cm cflute,train,1,0,0
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.024131268455037,0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 35 cm x 55 cm,train,0,0,0
Kemasan Pengiriman,3.0,polymailer,plastik,lainnya,biru,lainnya,lainnya,9.472781556562168,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,37,8,plastik polymailer biru 45 cm x 60 cm,train,0,0,0
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.61587214452889,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 50 cm x 75 cm,train,0,0,0
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,9.852246888342531,0,0.0,0.0,0.0,10.0,300.0,0.0,0.0,0.0,0.0,0.0,10.0,300.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 10 cm x 300 meter,train,0,1,0
Perlengkapan Rumah,2.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.881975184248867,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 30 cm x 50 cm,train,0,0,0
Kemasan Fleksibel,3.0,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,9.87822102528824,0,0.0,0.0,0.0,10.0,175.0,0.0,0.0,0.0,0.0,0.0,10.0,175.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 10 cm x 175 meter,train,0,1,0
Perekat,3.0,lakban,lakban,hiro,coklat,lainnya,lainnya,9.39274525863144,0,0.0,45.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,120.0,0,0,0,0,1,35,8,lakban hiro coklat 45 mm x 120 yard,train,0,0,1
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.922791623969637,0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 40 cm x 60 cm,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,sanpack,hitam,lainnya,lainnya,11.218567827096358,0,2.4,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,49,10,bubble wrap sanpack hitam 2.4kg 30 cm x 100 meter,train,0,1,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,non brand,bening,lainnya,lainnya,11.0186455364637,1,3.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0,0,0,0,1,51,11,bubble wrap non brand bening 3.0kg 30 cm x 25 meter,train,0,1,0
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.131824785007195,0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,28.0,27.0,10.755197095695795,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 62 cm x 28 cm x 27 cm cflute,train,1,0,0
Perekat,3.5,lakban,lakban,yatta,bening,lainnya,lainnya,9.305741456739437,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,35,8,lakban yatta bening 45 mm x 90 yard,train,0,0,1
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.974744612722734,0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 40 cm x 60 cm,train,0,0,0
Pelindung Kemasan,3.0,bubble_wrap,bubble wrap,sanpack,hitam,lainnya,lainnya,11.141876276228,0,2.2,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,49,10,bubble wrap sanpack hitam 2.2kg 125 cm x 25 meter,train,0,1,0
Perekat,3.0,lakban,lakban,non brand,biru,lainnya,lainnya,8.987321812850125,1,0.0,48.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,65.0,0,0,0,0,1,45,10,lakban fragile biru non brand 48 mm x 65 yard,train,0,0,1
